time,close,high,low,open,volumefrom,volumeto,vwap,base,quote,exchange
1460851200,0.0,0.0,0.0,0.0,0.0,0.0,,eth,usd,gemini
1460937600,0.0,0.0,0.0,0.0,0.0,0.0,,eth,usd,gemini
1461024000,0.0,0.0,0.0,0.0,0.0,0.0,,eth,usd,gemini
1461110400,0.0,0.0,0.0,0.0,0.0,0.0,,eth,usd,gemini
1461196800,0.0,0.0,0.0,0.0,0.0,0.0,,eth,usd,gemini
1461283200,0.0,0.0,0.0,0.0,0.0,0.0,,eth,usd,gemini
1461369600,0.0,0.0,0.0,0.0,0.0,0.0,,eth,usd,gemini
1461456000,0.0,0.0,0.0,0.0,0.0,0.0,,eth,usd,gemini
1461542400,0.0,0.0,0.0,0.0,0.0,0.0,,eth,usd,gemini
1461628800,0.0,0.0,0.0,0.0,0.0,0.0,,eth,usd,gemini
1461715200,0.0,0.0,0.0,0.0,0.0,0.0,,eth,usd,gemini
1461801600,0.0,0.0,0.0,0.0,0.0,0.0,,eth,usd,gemini
1461888000,0.0,0.0,0.0,0.0,0.0,0.0,,eth,usd,gemini
1461974400,0.0,0.0,0.0,0.0,0.0,0.0,,eth,usd,gemini
1462060800,0.0,0.0,0.0,0.0,0.0,0.0,,eth,usd,gemini
1462147200,0.0,0.0,0.0,0.0,0.0,0.0,,eth,usd,gemini
1462233600,0.0,0.0,0.0,0.0,0.0,0.0,,eth,usd,gemini
1462320000,0.0,0.0,0.0,0.0,0.0,0.0,,eth,usd,gemini
1462406400,0.0,0.0,0.0,0.0,0.0,0.0,,eth,usd,gemini
1462492800,0.0,0.0,0.0,0.0,0.0,0.0,,eth,usd,gemini
1462579200,0.0,0.0,0.0,0.0,0.0,0.0,,eth,usd,gemini
1462665600,0.0,0.0,0.0,0.0,0.0,0.0,,eth,usd,gemini
1462752000,9.98,12.0,9.36,12.0,1317.9,12885.06,9.776963350785339,eth,usd,gemini
1462838400,9.68,9.98,9.36,9.98,672.06,6578.2,9.788114156474125,eth,usd,gemini
1462924800,10.43,10.47,9.68,9.68,3052.51,30978.11,10.14840573822854,eth,usd,gemini
1463011200,10.2,12.0,9.92,10.43,2072.56,22183.39,10.703376500559694,eth,usd,gemini
1463097600,10.69,11.59,10.2,10.2,1769.71,18923.55,10.693023150685704,eth,usd,gemini
1463184000,10.25,10.98,10.01,10.69,670.55,7005.9,10.447990455596152,eth,usd,gemini
1463270400,10.06,10.59,10.06,10.25,1433.64,14872.14,10.373692140286263,eth,usd,gemini
1463356800,11.37,11.41,10.06,10.06,3345.92,36755.89,10.985286557957153,eth,usd,gemini
1463443200,12.23,12.49,11.28,11.37,7240.04,86866.35,11.998048353324016,eth,usd,gemini
1463529600,13.3,14.0,12.23,12.23,6130.3,80378.8,13.111723732933136,eth,usd,gemini
1463616000,14.5,14.5,13.3,13.3,6077.46,85755.39,14.1103997393648,eth,usd,gemini
1463702400,13.9,14.77,13.54,14.5,10944.34,156604.67,14.309192696864317,eth,usd,gemini
1463788800,13.97,13.98,13.09,13.9,4069.43,55049.27,13.527513681277231,eth,usd,gemini
1463875200,14.2,14.45,13.75,13.97,2865.95,40196.46,14.025527312060573,eth,usd,gemini
